stat_nm,stat_id,chger_id,charger_type,addr,lat,lon,use_time,busi_id,busi_nm,busi_call,chger_stat,stat_upd_dt,power_type,city_do_cd,parking_free_yn,stat_note,limit_yn,limit_detail,del_yn,del_detail
개포래미안포레스트,SF001372,7,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,8,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,9,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,10,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,11,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,12,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,13,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,14,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,15,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,16,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,17,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,18,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,19,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,20,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,21,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,22,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,23,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,24,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,25,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,26,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,27,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
